"id","word_count","total_attchments","total_images","total_videos","role","time_of_day","total_mentions","total_likes"
227978,7,2,1,1,"enterprise_admin","morning",0,0
227916,1,0,0,0,"admin","afternoon",0,0
227915,1,0,0,0,"admin","morning",0,0
227898,1,0,0,0,"enterprise_admin","morning",0,0
227890,1,0,0,0,"enterprise_admin","afternoon",0,2
227889,1,0,0,0,"enterprise_admin","afternoon",0,2
227888,1,0,0,0,"enterprise_admin","afternoon",0,2
227887,1,0,0,0,"enterprise_admin","afternoon",0,2
227886,1,0,0,0,"enterprise_admin","afternoon",0,4
227885,1,0,0,0,"enterprise_admin","afternoon",0,5
227884,1,0,0,0,"enterprise_admin","afternoon",0,6
227883,1,0,0,0,"enterprise_admin","afternoon",0,2
227882,1,0,0,0,"enterprise_admin","afternoon",0,2
227881,1,0,0,0,"enterprise_admin","afternoon",0,1
227878,1,0,0,0,"enterprise_admin","afternoon",0,1
227877,1,0,0,0,"enterprise_admin","afternoon",0,3
227876,1,0,0,0,"enterprise_admin","afternoon",0,5
227875,1,0,0,0,"enterprise_admin","afternoon",0,6
227874,1,0,0,0,"enterprise_admin","afternoon",0,7
227843,7,0,0,0,"admin","morning",1,1
227837,1,0,0,0,"admin","morning",0,0
227836,7,0,0,0,"admin","morning",1,0
227829,1,0,0,0,"admin","afternoon",0,0
227828,1,0,0,0,"admin","morning",0,0
227827,1,0,0,0,"admin","morning",0,0
227823,1,0,0,0,"admin","morning",0,0
227822,6,0,0,0,"enterprise_admin","afternoon",1,0
227804,2,0,0,0,"admin","afternoon",0,0
227803,2,0,0,0,"enterprise_admin","afternoon",0,0
227790,1,0,0,0,"admin","morning",0,0
227785,1,0,0,0,"admin","morning",0,0
227771,6,0,0,0,"admin","afternoon",0,0
227766,1,1,2,0,"admin","afternoon",0,0
227758,1,0,2,0,"admin","morning",0,0
227754,1,0,1,0,"admin","morning",0,0
227751,1,0,4,0,"admin","morning",0,0
227740,2,0,0,0,"admin","morning",0,0
227719,1,0,0,0,"25975f8b830814a0","morning",0,0
227711,8,0,0,1,"admin","afternoon",0,0
227710,3,0,0,0,"admin","afternoon",0,0
227690,3,0,0,1,"admin","afternoon",0,0
